"","MetabID","NameANDPutName","Name","Formula","MW","RT","KEGGPathways","PutaID_Formula","PutaID_MzColudHits","PutaID_MassHits","PutaID_KEGG","PutaID_Chemspider","PutaID_BioCyc_asName"," PutaID_BioCyc_asPathw"
"1","209.17348_0.989","S_Lysergic acid diethylamide (LSD)","S_Lysergic acid diethylamide (LSD)","","209.17348","0.989","","","PutID_Mz_Carbutamide_simScore:88.8; Tolbutamide_simScore:88.8; 1-Propionyl-LSD_simScore:89.7; Butylisopropylamine_simScore:89.7; Nitracaine_simScore:89.7; 2-Oxo-3-hydroxy-LSD_simScore:89.7; Celiprolol_simScore:89.7; Nor-LSD_simScore:89.7; Tiamulin_simScore:89.7; Lysergic acid diethylamide (LSD)_simScore:90.1; Milnacipran_simScore:91.2; Napropamide_simScore:94.7; Phosphamidon_simScore:96.9; 2-Amino-N,N-diethylacetamide_score:86","","","","",""
"2","162.92088_0.994","","","","162.92088","0.994","","","","","","","",""
"3","217.86098_1.004","","","","217.86098","1.004","","","","","","","",""
"4","294.1868_1.22","Myristyl sulfate","Myristyl sulfate","C14 H30 O4 S","294.1868","1.22","","C16 H27 N2 O P_ppm:2.36_Ifit:40MatchedIso.:2; C14 H32 O2 P2_ppm:-3.26_Ifit:42MatchedIso.:2; C15 H26 N4 S_ppm:-3.47_Ifit:81MatchedIso.:4; C14 H30 O4 S_ppm:1.07_Ifit:69MatchedIso.:5","PutID_Mz_Myristyl sulfate_score:84.3","","","PutID_ChemS_5058_:Tetradecyl hydrogen sulfate_ppm:0","",""
"5","350.15364_1.245","PutID_ChemS_35013428_:7-Isopropenyl-1,8a-dimethyl-6-oxo-1,2,3,4,6,7,8,8a-octahydro-2-naphthalenyl (2E)-3-(methylsulfinyl)acrylate_ppm:0.002; 4767_:Propargite_ppm:0.002","","C15 H24 N6 P2","350.15364","1.245","","C13 H27 N4 O3 P S_ppm:-1.45_Ifit:53MatchedIso.:3; C14 H28 N2 O4 P2_ppm:3.45_Ifit:58MatchedIso.:3; C19 H26 O4 S_ppm:-4.4_Ifit:65MatchedIso.:3; C23 H18 N4_ppm:1.41_Ifit:67MatchedIso.:3; C15 H22 N6 O2 S_ppm:3.27_Ifit:67MatchedIso.:3; C21 H23 N2 O P_ppm:-3.32_Ifit:72MatchedIso.:3; C15 H24 N6 P2_ppm:-0.37_Ifit:78MatchedIso.:3","","","","PutID_ChemS_35013428_:7-Isopropenyl-1,8a-dimethyl-6-oxo-1,2,3,4,6,7,8,8a-octahydro-2-naphthalenyl (2E)-3-(methylsulfinyl)acrylate_ppm:0.002; 4767_:Propargite_ppm:0.002","",""
"6","316.16954_1.246","","","C16 H28 O4 S","316.16954","1.246","","C8 H24 N6 O7_ppm:-3.51_Ifit:31MatchedIso.:2; C12 H24 N6 O2 S_ppm:4.41_Ifit:67MatchedIso.:2; C20 H20 N4_ppm:2.35_Ifit:86MatchedIso.:2; C12 H26 N6 P2_ppm:0.38_Ifit:65MatchedIso.:2; C18 H25 N2 O P_ppm:-2.88_Ifit:94MatchedIso.:2; C16 H28 O4 S_ppm:-4.08_Ifit:62MatchedIso.:3","","","","","",""
"7","312.07519_1.261","","","C14 H17 O6 P","312.07519","1.261","","C8 H18 N4 O5 P2_ppm:-0.17_Ifit:36MatchedIso.:2; C10 H23 N2 O P3 S_ppm:2.55_Ifit:35MatchedIso.:2; C11 H9 N10 P_ppm:0.84_Ifit:39MatchedIso.:2; C18 H17 O P S_ppm:4.54_Ifit:38MatchedIso.:3; C17 H8 N6 O_ppm:-2.46_Ifit:62MatchedIso.:3; C16 H12 N2 O5_ppm:1.82_Ifit:74MatchedIso.:3; C14 H17 O6 P_ppm:-3.48_Ifit:86MatchedIso.:3","","","","","",""
"8","272.14323_1.273","","","C16 H21 N2 P","272.14323","1.273","","C16 H21 N2 P_ppm:-3.7_Ifit:35MatchedIso.:2","","","","","",""
"9","305.1312_1.274","","","","305.1312","1.274","","","","","","","",""
"10","291.11558_1.275","","","","291.11558","1.275","","","","","","","",""
"11","299.95036_1.276","Perfluoro-1-butanesulfonic acid (PFBS)","Perfluoro-1-butanesulfonic acid (PFBS)","C4 H F9 O3 S","299.95036","1.276","","C2 H N6 O10 P_ppm:3.93_Ifit:30MatchedIso.:2; C5 H2 N8 O2 P2 S_ppm:2.31_Ifit:50MatchedIso.:4; C3 H7 N6 O3 P3 S_ppm:-3.21_Ifit:51MatchedIso.:4","PutID_Mz_Perfluoro-1-butanesulfonic acid (PFBS)_score:84.7","","","","",""
"12","309.08184_1.279","PutID_ChemS_58829664_:(Z)-N-[(2R)-2-Amino-1-hydroxy-3-{[(1E)-N-hydroxy-4-(methylsulfanyl)butanimidoyl]sulfanyl}propylidene]glycine_ppm:0","","","309.08184","1.279","","","","","","PutID_ChemS_58829664_:(Z)-N-[(2R)-2-Amino-1-hydroxy-3-{[(1E)-N-hydroxy-4-(methylsulfanyl)butanimidoyl]sulfanyl}propylidene]glycine_ppm:0","",""
