# Constructed from biom file
#OTU ID	CL.10	CL.12	CL.4	CL.6	CL.8	MSQ4.AG.009	MSQ4.AG.010	MSQ4.AG.011	MSQ6.AG.479	MSQ6.AG.480	MSQ6.AG.481
Amino Acid Metabolism	6955398.0	7857780.0	6725637.0	8646130.0	9902478.0	4914676.0	2881473.0	2901457.0	4293787.0	2086817.0	2548088.0
Biosynthesis of Other Secondary Metabolites	614325.0	749012.0	639446.0	800929.0	878030.0	487807.0	301310.0	319683.0	428532.0	216753.0	273910.0
Cancers	67368.0	77106.0	62234.0	86573.0	96019.0	52827.0	29818.0	30658.0	47006.0	22503.0	27613.0
Carbohydrate Metabolism	7698226.0	8205292.0	7243256.0	10151903.0	11134604.0	6366774.0	3310216.0	3522513.0	5515864.0	2434713.0	3102753.0
Cardiovascular Diseases	1.0	289.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cell Communication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cell Growth and Death	337740.0	372168.0	327839.0	361907.0	463073.0	166235.0	124725.0	121703.0	149598.0	89728.0	105775.0
Cell Motility	1216371.0	1917271.0	1191819.0	1674639.0	1352317.0	647091.0	636661.0	509768.0	557672.0	405494.0	419227.0
Cellular Processes and Signaling	2749857.0	3209101.0	2701852.0	3933910.0	3863010.0	2778011.0	1378457.0	1474401.0	2403500.0	1019419.0	1306969.0
Circulatory System	3.0	867.0	18.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Digestive System	34400.0	29007.0	33161.0	42209.0	67131.0	22285.0	13579.0	17592.0	19514.0	9822.0	14489.0
Endocrine System	251956.0	271824.0	225289.0	298504.0	390588.0	112879.0	84244.0	88380.0	102037.0	61020.0	75658.0
Energy Metabolism	3654133.0	4318708.0	3776562.0	4487118.0	4748341.0	2732385.0	1622075.0	1660639.0	2391884.0	1175100.0	1450603.0
Environmental Adaptation	123148.0	152652.0	107221.0	149040.0	159894.0	58867.0	40349.0	37020.0	52123.0	29036.0	32966.0
Enzyme Families	1473961.0	1720168.0	1460451.0	1924711.0	2116529.0	1106687.0	615266.0	628433.0	962650.0	448026.0	554333.0
Excretory System	19090.0	17177.0	20009.0	30925.0	36331.0	28929.0	13709.0	14021.0	25758.0	10786.0	13122.0
Folding, Sorting and Degradation	1602455.0	1855103.0	1556585.0	2029997.0	2200031.0	1168392.0	692410.0	708146.0	1029851.0	508012.0	624303.0
Genetic Information Processing	1827826.0	2034345.0	1713788.0	2309254.0	2599806.0	1350536.0	761795.0	754126.0	1182085.0	558737.0	672365.0
Glycan Biosynthesis and Metabolism	1217180.0	1529974.0	1430975.0	1691384.0	1826478.0	1305530.0	774376.0	879388.0	1169367.0	579889.0	765099.0
Immune System	61347.0	67594.0	54253.0	69663.0	82652.0	28424.0	22380.0	21185.0	25346.0	15813.0	18160.0
Immune System Diseases	17128.0	35203.0	26835.0	31059.0	18276.0	18747.0	8082.0	9401.0	16649.0	6687.0	8977.0
Infectious Diseases	225332.0	271080.0	230330.0	341727.0	314135.0	260870.0	122739.0	129047.0	224757.0	91032.0	115601.0
Lipid Metabolism	2055241.0	2276459.0	1888040.0	2684051.0	2931344.0	1626587.0	915851.0	946956.0	1430335.0	678312.0	838397.0
Membrane Transport	7847832.0	8927896.0	7280216.0	12104412.0	10593061.0	9150036.0	3715073.0	3874123.0	7770023.0	2780901.0	3551343.0
Metabolic Diseases	81458.0	84277.0	73569.0	92526.0	125189.0	38813.0	28347.0	29270.0	34378.0	20076.0	24735.0
Metabolism	1505703.0	1712819.0	1534709.0	2235986.0	2130521.0	1763729.0	849380.0	905830.0	1520450.0	627174.0	803234.0
Metabolism of Cofactors and Vitamins	2750422.0	3319805.0	2770717.0	3515756.0	3593722.0	2159497.0	1213949.0	1230020.0	1883708.0	885680.0	1089421.0
Metabolism of Other Amino Acids	877663.0	1055011.0	902026.0	1228413.0	1193712.0	907108.0	447839.0	477991.0	784449.0	330866.0	425328.0
