# Constructed from biom file
#OTU ID	CL.10	CL.12	CL.4	CL.6	CL.8	MSQ4.AG.009	MSQ4.AG.010	MSQ4.AG.011	MSQ6.AG.479	MSQ6.AG.480	MSQ6.AG.481
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	8.0	192.0	106.0	127.0	10.0	25.0	39.0	40.0	48.0	31.0	42.0
ABC transporters	2015177.0	2355000.0	1918409.0	3121488.0	2643350.0	2454398.0	997937.0	1023279.0	2080141.0	742959.0	938257.0
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adipocytokine signaling pathway	47651.0	57017.0	51322.0	56684.0	80754.0	20770.0	19140.0	20968.0	18995.0	13281.0	17173.0
African trypanosomiasis	201.0	156.0	214.0	3952.0	1682.0	7880.0	1920.0	2243.0	7019.0	1956.0	2526.0
Alanine, aspartate and glutamate metabolism	739058.0	861706.0	745736.0	868287.0	1019506.0	445599.0	313331.0	318522.0	393924.0	221637.0	271754.0
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alzheimer's disease	32949.0	37627.0	30974.0	44262.0	47782.0	28478.0	14021.0	14332.0	24972.0	10704.0	13149.0
Amino acid metabolism	77413.0	103243.0	103680.0	162136.0	91527.0	193719.0	82445.0	86756.0	164891.0	60516.0	77905.0
Amino acid related enzymes	1023965.0	1168447.0	998801.0	1202158.0	1434861.0	613788.0	399366.0	392915.0	540485.0	286309.0	342590.0
Amino sugar and nucleotide sugar metabolism	872482.0	1034010.0	909885.0	1124959.0	1208882.0	694969.0	428057.0	454667.0	611040.0	308648.0	392389.0
Aminoacyl-tRNA biosynthesis	889049.0	976751.0	831048.0	991850.0	1298271.0	386082.0	282221.0	266515.0	344282.0	201887.0	232383.0
Aminobenzoate degradation	65582.0	63912.0	59259.0	110051.0	86735.0	111930.0	45463.0	47810.0	97860.0	36111.0	45960.0
Amoebiasis	2750.0	3174.0	2244.0	2003.0	1624.0	1991.0	1433.0	1226.0	2423.0	1558.0	1673.0
Amyotrophic lateral sclerosis (ALS)	1037.0	1626.0	1190.0	12372.0	2358.0	22586.0	6955.0	9069.0	18767.0	5375.0	8055.0
Antigen processing and presentation	30279.0	32981.0	26180.0	34375.0	40683.0	13982.0	10923.0	10376.0	12497.0	7723.0	8916.0
Apoptosis	1.0	289.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Arachidonic acid metabolism	6408.0	9784.0	11598.0	21153.0	13294.0	33293.0	13075.0	14180.0	28503.0	9856.0	12840.0
Arginine and proline metabolism	895972.0	1024478.0	865846.0	1132119.0	1266918.0	670215.0	404682.0	402659.0	585850.0	291052.0	352355.0
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ascorbate and aldarate metabolism	77914.0	66403.0	73601.0	178032.0	133641.0	201775.0	50341.0	66663.0	170203.0	43151.0	64652.0
Atrazine degradation	4458.0	5381.0	5058.0	18576.0	2157.0	35768.0	13501.0	13186.0	32154.0	11629.0	13668.0
Bacterial chemotaxis	218504.0	379119.0	220093.0	314593.0	203746.0	152754.0	151427.0	118937.0	129277.0	93982.0	95732.0
Bacterial invasion of epithelial cells	2.0	34.0	0.0	4.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacterial motility proteins	468601.0	826697.0	486401.0	731578.0	498227.0	332112.0	285608.0	230453.0	287403.0	185954.0	194774.0
Bacterial secretion system	441847.0	455195.0	385265.0	694073.0	665908.0	547641.0	208532.0	227119.0	473372.0	165762.0	214817.0
Bacterial toxins	85561.0	91244.0	80069.0	87903.0	131059.0	32781.0	34227.0	32228.0	30862.0	24103.0	27457.0
Basal transcription factors	1488.0	2656.0	3072.0	1076.0	880.0	3.0	5.0	4.0	6.0	5.0	4.0
Base excision repair	320202.0	343559.0	300765.0	371032.0	463681.0	188164.0	123617.0	122267.0	167368.0	89840.0	107250.0
Benzoate degradation	192701.0	187773.0	167466.0	288748.0	292848.0	227487.0	88178.0	91887.0	190474.0	64451.0	83262.0
Betalain biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bile secretion	372.0	664.0	768.0	269.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0
Biosynthesis and biodegradation of secondary metabolites	34548.0	34525.0	33578.0	80035.0	39256.0	97571.0	28772.0	34925.0	82625.0	23364.0	33198.0
Biosynthesis of 12-, 14- and 16-membered macrolides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Biosynthesis of ansamycins	93910.0	105591.0	78068.0	134039.0	134572.0	73781.0	29741.0	31107.0	62536.0	22665.0	28703.0
Biosynthesis of siderophore group nonribosomal peptides	5730.0	14683.0	7067.0	65520.0	5643.0	95743.0	19639.0	27576.0	79754.0	17018.0	27069.0
Biosynthesis of type II polyketide backbone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Biosynthesis of type II polyketide products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Biosynthesis of unsaturated fatty acids	85143.0	86793.0	73667.0	142427.0	129049.0	129424.0	49695.0	52000.0	113838.0	40996.0	50859.0
Biosynthesis of vancomycin group antibiotics	38461.0	46625.0	44360.0	41324.0	54661.0	19299.0	16652.0	17441.0	17782.0	11893.0	14678.0
Biotin metabolism	93448.0	121673.0	109708.0	113519.0	127961.0	67568.0	40054.0	43481.0	60556.0	30154.0	38564.0
Bisphenol degradation	61955.0	71057.0	63604.0	66259.0	99533.0	18699.0	23410.0	21704.0	17906.0	16305.0	17982.0
Bladder cancer	3.0	19.0	1.0	3874.0	19.0	6557.0	1129.0	1657.0	5394.0	990.0	1647.0
Butanoate metabolism	476925.0	500287.0	441415.0	638899.0	690410.0	455047.0	222386.0	223336.0	389343.0	160967.0	198666.0
Butirosin and neomycin biosynthesis	66799.0	66913.0	56221.0	76442.0	107655.0	25635.0	25347.0	25183.0	23741.0	17745.0	20856.0
C5-Branched dibasic acid metabolism	247087.0	273255.0	241903.0	305240.0	357417.0	165773.0	90127.0	92196.0	143582.0	65568.0	81214.0
CAM ligands	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caffeine metabolism	2.0	2.0	1.0	0.0	0.0	1323.0	791.0	586.0	1625.0	966.0	880.0
Calcium signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caprolactam degradation	6063.0	4313.0	2720.0	37433.0	2566.0	64733.0	13886.0	17704.0	55597.0	13330.0	18926.0
Carbohydrate digestion and absorption	29332.0	16499.0	15962.0	36863.0	57925.0	17153.0	7600.0	10057.0	14491.0	5632.0	8318.0
Carbohydrate metabolism	139440.0	153224.0	133905.0	195035.0	211199.0	116281.0	52272.0	60711.0	100411.0	39714.0	53672.0
Carbon fixation in photosynthetic organisms	474479.0	527929.0	446291.0	608831.0	686790.0	329203.0	181176.0	189583.0	286551.0	133163.0	166993.0
Carbon fixation pathways in prokaryotes	656418.0	726680.0	668457.0	804176.0	946021.0	506960.0	299500.0	309000.0	444671.0	217143.0	269493.0
Cardiac muscle contraction	3.0	867.0	18.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Carotenoid biosynthesis	14702.0	8262.0	7145.0	14445.0	28781.0	1706.0	1315.0	1060.0	2012.0	1429.0	1341.0
Cell cycle	372.0	664.0	768.0	269.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0
Cell cycle - Caulobacter	337072.0	370552.0	326665.0	361394.0	460823.0	163564.0	123104.0	120491.0	146300.0	87766.0	103973.0
